Операция,"Стоимость, руб/ч"
Автоматический поверхностный монтаж SMT (работа),1
Автоматический поверхностный монтаж SMT (переналадка),2
Селективная пайка THT (работа),4
Селективная пайка THT (переналадка),5
Волновая пайка (работа),3
Волновая пайка (переналадка),4745
Автоматическая лакировка H RL (работа),2824
Автоматическая лакировка H RL (переналадка),2824
Ручной монтаж,1023
Тестирование,2
Прошивка,922
Программирование микросхем,1
Отмывка,1316
ICT,1524
Лакировка,1316
Разделение,1508
Рентгенконтроль,1407
Механические операции,922
Дполнительные работы уч. тестирования,921
Входной контроль,1035
Операционный контроль,1035
Выходной контроль,1035
Комплектование/отгрузка,1065
